Student_ID,Branch,Diploma_Percentage,CGPA,Attendance_Percent,Aptitude_Score,Technical_Score,Communication_Skill,Internship_Completed,Projects_Count,Placement_Status
STU0001,Computer,82.6,8.69,85.4,88,70,Good,Yes,4,Placed
STU0002,Civil,64.1,6.75,92.5,6,10,Average,No,4,Not Placed
STU0003,Mechanical,87.2,9.18,94.2,40,76,Excellent,No,5,Placed
STU0004,Mechanical,78.4,8.25,74.2,46,10,Good,No,5,Placed
STU0005,Computer,45.2,4.76,75.0,80,5,Poor,Yes,4,Not Placed
STU0006,E&TC,93.7,9.86,88.4,13,11,Excellent,Yes,2,Not Placed
STU0007,E&TC,81.9,8.62,65.1,43,46,Average,No,3,Placed
STU0008,E&TC,83.2,8.76,90.2,15,62,Poor,No,2,Not Placed
STU0009,Computer,47.0,4.95,73.7,79,41,Average,Yes,3,Placed
STU0010,Mechanical,64.8,6.82,55.6,63,12,Good,No,4,Not Placed
STU0011,E&TC,60.4,6.36,53.5,50,20,Poor,Yes,2,Not Placed
STU0012,Electrical,91.0,9.58,90.4,39,86,Average,Yes,3,Placed
STU0013,Computer,75.4,7.94,52.7,15,97,Poor,Yes,0,Placed
STU0014,Computer,85.3,8.98,63.5,93,76,Average,Yes,4,Placed
STU0015,Mechanical,64.4,6.78,66.0,65,10,Average,Yes,2,Not Placed
STU0016,E&TC,52.5,5.53,58.3,32,82,Good,No,2,Not Placed
STU0017,Computer,70.5,7.42,65.1,41,69,Average,Yes,3,Placed
STU0018,E&TC,43.5,4.58,85.6,73,53,Poor,Yes,1,Not Placed
STU0019,Civil,85.5,9.0,50.7,72,14,Good,Yes,3,Placed
STU0020,E&TC,74.7,7.86,89.7,46,100,Average,Yes,4,Placed
STU0021,E&TC,81.7,8.6,91.1,30,44,Good,Yes,2,Placed
STU0022,Mechanical,59.5,6.26,67.9,66,4,Poor,No,0,Not Placed
STU0023,E&TC,93.4,9.83,57.4,66,21,Poor,Yes,2,Placed
STU0024,Computer,89.1,9.38,78.8,60,40,Average,No,1,Placed
STU0025,Mechanical,82.8,8.72,55.7,7,6,Average,No,2,Not Placed
STU0026,Mechanical,50.7,5.34,67.5,47,32,Average,Yes,3,Not Placed
STU0027,Computer,65.7,6.92,96.0,62,47,Good,No,0,Placed
STU0028,Computer,42.4,4.46,97.8,95,95,Average,No,4,Placed
STU0029,Computer,48.5,5.11,87.1,53,8,Good,No,1,Not Placed
STU0030,Computer,77.6,8.17,64.9,34,58,Good,No,5,Placed
STU0031,Mechanical,81.0,8.53,83.0,56,92,Poor,No,4,Placed
STU0032,Computer,93.2,9.81,83.9,17,81,Good,No,1,Placed
STU0033,Computer,57.9,6.09,68.6,9,93,Average,No,3,Not Placed
STU0034,E&TC,60.4,6.36,80.8,68,17,Average,Yes,0,Not Placed
STU0035,Computer,65.8,6.93,50.5,99,80,Poor,No,0,Placed
STU0036,Computer,50.4,5.31,60.0,85,98,Good,No,5,Placed
STU0037,Computer,47.1,4.96,75.2,58,32,Excellent,No,4,Not Placed
STU0038,Computer,66.2,6.97,57.9,4,50,Poor,Yes,0,Not Placed
STU0039,Electrical,52.5,5.53,58.0,99,53,Good,Yes,1,Placed
STU0040,E&TC,76.8,8.08,90.1,45,49,Good,Yes,1,Placed
STU0041,Civil,64.0,6.74,97.5,29,29,Average,Yes,2,Not Placed
STU0042,Electrical,85.8,9.03,76.7,90,98,Good,Yes,1,Placed
STU0043,Computer,78.5,8.26,90.3,75,96,Good,Yes,1,Placed
STU0044,Civil,57.2,6.02,97.5,75,38,Excellent,Yes,3,Placed
STU0045,Computer,85.8,9.03,56.8,28,81,Excellent,Yes,1,Placed
STU0046,Civil,84.3,8.87,71.5,100,40,Poor,Yes,5,Placed
STU0047,Electrical,61.3,6.45,68.8,45,80,Average,No,4,Placed
STU0048,E&TC,55.9,5.88,53.8,53,59,Good,Yes,4,Placed
STU0049,Mechanical,77.5,8.16,86.3,75,47,Poor,Yes,1,Placed
STU0050,Civil,47.7,5.02,70.8,66,12,Average,Yes,4,Not Placed
STU0051,Electrical,51.0,5.37,72.5,17,66,Excellent,Yes,5,Placed
STU0052,Electrical,40.4,4.25,57.2,30,32,Poor,Yes,1,Not Placed
STU0053,E&TC,83.3,8.77,58.7,36,21,Average,No,4,Not Placed
STU0054,Civil,76.6,8.06,93.5,95,19,Good,No,2,Placed
STU0055,Electrical,78.8,8.29,52.1,72,99,Average,Yes,4,Placed
STU0056,Electrical,82.9,8.73,61.2,36,10,Average,No,2,Not Placed
STU0057,Civil,65.2,6.86,64.0,74,80,Excellent,Yes,4,Placed
STU0058,Mechanical,71.3,7.51,73.5,74,87,Average,Yes,0,Placed
STU0059,Computer,47.7,5.02,78.1,39,3,Poor,Yes,2,Not Placed
STU0060,Electrical,46.3,4.87,73.7,40,59,Poor,Yes,1,Not Placed
STU0061,Computer,76.8,8.08,54.0,90,58,Excellent,No,1,Placed
STU0062,Computer,65.9,6.94,61.7,56,36,Average,No,1,Not Placed
STU0063,Electrical,71.1,7.48,90.5,15,67,Good,No,2,Placed
STU0064,Civil,82.1,8.64,80.6,72,41,Poor,Yes,0,Placed
STU0065,Civil,74.9,7.88,81.2,59,44,Average,No,4,Placed
